Time,Dynamic,LUT as Logic,Signals,LUT as Logic + Signals
3100000.0,11269.703,855.175,1573.85,2429.0249999999996
3110000.0,13358.641,1483.185,2493.7,3976.8849999999998
3120000.0,13699.312,2241.86,3655.25,5897.110000000001
3130000.0,10909.625,1803.715,2916.95,4720.665
3140000.0,9962.656,1187.26,1583.95,2771.21
3150000.0,11257.156,1322.135,2011.9,3334.035
3160000.0,8721.562,721.195,808.65,1529.845
3170000.0,9127.453,711.755,1204.05,1915.8049999999998
3180000.0,12190.062,1907.565,2841.5,4749.0650000000005
3190000.0,13589.109,2462.99,3676.55,6139.54
3200000.0,9672.391,1535.165,2151.3,3686.465
3210000.0,8869.844,736.07,1042.65,1778.7200000000003
3220000.0,11017.312,1231.68,1871.5,3103.1800000000003
3230000.0,8859.469,683.73,825.25,1508.98
3240000.0,10337.125,1034.04,1979.95,3013.99
3250000.0,12762.203,2171.15,3134.2,5305.35
3260000.0,13077.266,2314.86,3312.7,5627.5599999999995
3270000.0,9565.641,1333.925,2233.95,3567.875
3280000.0,8760.266,703.695,1037.25,1740.9450000000002
3290000.0,11816.375,1511.65,2386.05,3897.7000000000003
3300000.0,8981.344,739.8,888.75,1628.55
3310000.0,10305.812,1069.455,1926.85,2996.305
3320000.0,12449.516,2047.36,2947.55,4994.91
3330000.0,12437.328,2075.48,2900.9,4976.38
3340000.0,10938.516,1928.21,2958.75,4886.96
3350000.0,8957.25,765.06,1091.2,1856.26
3360000.0,12037.297,1588.16,2532.75,4120.91
3370000.0,9342.234,907.55,1068.65,1976.2
3380000.0,11677.297,991.665,1845.0,2836.665
3390000.0,13980.5,1631.755,2829.75,4461.505
3400000.0,13331.734,2159.605,3359.25,5518.855
3410000.0,10764.141,1817.365,2762.3,4579.665
3420000.0,9560.359,1094.63,1379.15,2473.78
3430000.0,11228.844,1324.155,1981.55,3305.705
3440000.0,8626.891,678.445,747.7,1426.145
3450000.0,9698.672,833.97,1550.75,2384.7200000000003
3460000.0,12828.312,2145.81,3243.75,5389.5599999999995
3470000.0,12425.609,2073.105,2908.4,4981.505
3480000.0,10699.047,1899.38,2783.4,4682.780000000001
3490000.0,8632.281,646.2,937.15,1583.35
3500000.0,11659.094,1443.435,2294.75,3738.185
3510000.0,8731.344,624.0,756.85,1380.85
3520000.0,9671.078,851.445,1512.45,2363.895
3530000.0,11901.547,1834.07,2662.65,4496.72
3540000.0,13187.953,2359.455,3367.0,5726.455
3550000.0,9792.203,1368.85,2428.4,3797.25
3560000.0,8650.266,655.0,965.7,1620.7
3570000.0,11714.75,1470.95,2318.4,3789.3500000000004
3580000.0,8823.469,665.145,807.8,1472.945
3590000.0,9491.609,793.33,1411.3,2204.63
3600000.0,11315.797,1681.295,2362.1,4043.395
3610000.0,13542.609,2458.88,3637.25,6096.13
3620000.0,9670.125,1484.31,2196.05,3680.36
3630000.0,8700.391,712.065,979.35,1691.415
3640000.0,11295.625,1323.725,2055.5,3379.225
3650000.0,8055.547,1111.895,1250.65,2362.545
3660000.0,9215.609,823.18,972.65,1795.83
3670000.0,12105.203,1288.01,1901.8,3189.81
3680000.0,10885.094,1052.26,1572.6,2624.8599999999997
3690000.0,9427.859,749.24,910.15,1659.3899999999999
3700000.0,10877.141,1202.715,1400.45,2603.165
3710000.0,13040.156,1584.475,2400.6,3985.075
3720000.0,11102.422,1087.445,1629.6,2717.045
3730000.0,9336.844,700.6,819.55,1520.15
3740000.0,11060.281,1293.74,1490.35,2784.09
3750000.0,12956.078,1573.29,2327.65,3900.94
3760000.0,10924.234,1072.72,1590.5,2663.2200000000003
3770000.0,9332.203,702.2,870.55,1572.75
3780000.0,10887.547,1201.205,1412.4,2613.605
3790000.0,12969.625,1563.475,2348.75,3912.225
3800000.0,11119.453,1104.395,1629.65,2734.045
3810000.0,9339.734,693.84,829.15,1522.99
3820000.0,11245.203,1387.365,1579.4,2966.7650000000003
3830000.0,9433.75,1102.425,1826.25,2928.675
3840000.0,5380.078,148.99,152.9,301.89
3850000.0,6881.375,233.11,221.7,454.81
3860000.0,12798.391,2505.32,3153.0,5658.32
3870000.0,9258.594,1066.02,1375.8,2441.8199999999997
3880000.0,14954.031,3230.42,4433.0,7663.42
3890000.0,11499.234,1803.74,2554.0,4357.74
3900000.0,13454.938,2671.0,3556.5,6227.5
3910000.0,9049.578,869.26,1196.75,2066.01
3920000.0,17483.578,3854.685,5300.25,9154.935
3930000.0,13938.422,2014.17,2454.75,4468.92
3940000.0,17886.547,3559.435,4778.55,8337.985
3950000.0,15089.75,2197.84,3165.2,5363.04
3960000.0,21428.594,4947.99,6793.25,11741.24
3970000.0,15626.906,2471.02,3312.1,5783.12
3980000.0,20074.469,4265.04,6091.3,10356.34
3990000.0,13075.75,1405.39,1752.15,3157.54
4000000.0,15725.562,3193.835,4380.15,7573.985
4010000.0,9663.453,1022.79,1257.35,2280.14
4020000.0,9601.312,1824.325,2305.45,4129.775
4030000.0,6502.969,664.535,793.6,1458.135
4040000.0,8531.422,302.59,372.4,674.99
4050000.0,15611.172,2789.515,3731.0,6520.514999999999
4060000.0,20706.328,3792.6,5130.7,8923.3
4070000.0,22080.125,3980.98,5922.35,9903.33
4080000.0,21227.703,3810.095,5214.4,9024.494999999999
4090000.0,21183.859,3640.215,5393.95,9034.165
4100000.0,21232.609,3784.935,5229.85,9014.785
4110000.0,22118.031,4009.595,5929.4,9938.994999999999
4120000.0,21960.156,4116.85,5675.2,9792.05
4130000.0,20465.906,4884.155,6764.25,11648.404999999999
4140000.0,6977.062,682.485,979.8,1662.2849999999999
4150000.0,7125.359,248.09,262.95,511.03999999999996
4160000.0,10147.875,519.86,705.05,1224.9099999999999
4170000.0,16722.016,2993.19,3972.55,6965.74
4180000.0,16194.141,2706.87,3507.55,6214.42
4190000.0,17482.078,3265.625,4448.6,7714.225
4200000.0,16243.391,2699.93,3561.5,6261.43
4210000.0,16796.797,3026.54,4000.15,7026.6900000000005
4220000.0,16470.688,2844.245,3644.5,6488.745
4230000.0,17671.562,3384.81,4518.95,7903.76
4240000.0,13174.781,3205.895,3800.4,7006.295
4250000.0,7106.625,945.745,1077.95,2023.6950000000002
4260000.0,7274.969,429.6,414.35,843.95
4270000.0,13626.406,2870.21,3637.4,6507.610000000001
4280000.0,12209.375,2231.165,3012.2,5243.365
4290000.0,14363.75,3024.805,4052.8,7077.605
4300000.0,10015.172,1237.815,1704.7,2942.5150000000003
4310000.0,15358.125,3386.49,4683.3,8069.79
4320000.0,11875.438,2002.375,2738.0,4740.375
4330000.0,18488.953,4286.915,5889.2,10176.115
4340000.0,17367.406,3403.885,4439.45,7843.335
4350000.0,22367.859,5300.015,7315.5,12615.515
4360000.0,18268.922,3494.015,4947.65,8441.664999999999
4370000.0,21035.328,4781.77,6556.65,11338.42
4380000.0,14088.344,1850.435,2341.3,4191.735000000001
4390000.0,22063.203,5064.075,7273.8,12337.875
4400000.0,15920.375,2610.975,3493.0,6103.975
4410000.0,17673.219,3928.475,5526.75,9455.225
4420000.0,12462.094,2182.555,2896.25,5078.805
4430000.0,10090.953,2022.79,2596.65,4619.4400000000005
4440000.0,6516.891,654.44,817.65,1472.0900000000001
4450000.0,8793.156,480.465,550.65,1031.115
